OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
21462,2020,CA,CDF,CZU,CZU LIGHTNING COMPLEX,00005205,2020/08/16 00:00:00+00,2020/09/24 00:00:00+00,1,,86509,86553.461,7,1,,255052.193259759,552318495.777981
21480,2020,CA,CDF,ORC,SILVERADO,20121364,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14, ,0,12469.206,7,1,,65362.5935745091,73125983.4583518
21481,2020,CA,CDF,ORC,BLUE RIDGE,20121612,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14, ,0,13694.532,7,1,,65838.8753839645,80671871.2688464
21482,2020,CA,CDF,ORC,BOND,20136890,2020/12/03 00:00:00+00,2020/12/07 00:00:00+00,14, ,0,6681.0986,7,1,,52771.3654774732,39200475.3997512
21515,2020,CA,CCO,KRN,STAGECOACH,02033315,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,14,,7750,7750.6372,1,1,,46920.3382001835,47373861.8492288
21560,2020,CA,CDF,SHU,ZOGG,00009978,2020/09/27 00:00:00+00,2020/10/13 00:00:00+00,14,,56338,56338.051,3,1,,190609.169916148,393993433.312704
21569,2020,CA,CDF,AEU,GRANT FIRE,00016543,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,2,,5042,5062.1978,1,1,,31944.671938623,33560841.7726705
21580,2020,CA,CDF,FKU,MINERAL,00010219,2020/07/13 00:00:00+00,2020/07/26 00:00:00+00,14,,29666.96,29666.955,2,1,,113981.402275566,184633612.393482
21595,2020,CA,CDF,BEU,CARMEL,00004081,2020/08/18 00:00:00+00,2020/09/06 00:00:00+00,10,"Brush or brush-and-grass mixture fire",6901,6996.9443,7,1,,55600.12331822,43813350.5993144
21604,2020,CA,CDF,BEU,RIVER,00004024,2020/08/16 00:00:00+00,2020/09/04 00:00:00+00,1,"Brush or brush-and-grass mixture fire",48088,50213.816,7,1,,188233.15587817,314948093.903798
21616,2020,CA,CDF,SCU,SCU COMPLEX,00005740,2020/08/16 00:00:00+00,2020/09/11 00:00:00+00,1,,,396824.47,2,1,,634336.338845715,2545883718.99618
21618,2020,CA,CDF,SCU,CREWS,00004686,2020/07/05 00:00:00+00,2020/07/15 00:00:00+00,8,,,5513.1914,2,1,,45170.9785570475,35060829.4026674
21625,2020,CA,CDF,RRU,APPLE,00096640,2020/07/31 00:00:00+00,2020/08/09 00:00:00+00,14,Auto-generated by EGP-IRWIN,,33209.312,2,1,,150101.100013662,196145745.088594
21641,2020,CA,USF,ANF,BOBCAT,00003687,2020/09/06 00:00:00+00,2020/10/19 00:00:00+00,14,56C3E0AE-98EF-4433-863D-23A5DFF3D0C2,115796,115997.98,7,1,,433313.073884564,690091830.297993
21665,2020,CA,CDF,LNU,WALLBRIDGE,00013407,2020/08/17 00:00:00+00,2020/09/02 00:00:00+00,1,Part of the LNU LIGHTNING COMPLEX,,55208.938,7,1,,157572.908253265,366514226.490754
21666,2020,CA,CDF,LNU,HENNESSEY,00013337,2020/08/17 00:00:00+00,2020/09/16 00:00:00+00,1,Part of the LNU LIGHTNING COMPLEX,305651,305351.88,7,1,,1008834.88444175,2027266568.25791
21667,2020,CA,CDF,LNU,GLASS,00015497,2020/09/27 00:00:00+00,2020/10/20 00:00:00+00,14,J. Baldwin,,67484.406,7,1,,272074.173454487,447043238.763344
21678,2020,CA,USF,TNF,LOYALTON,00001600,2020/08/14 00:00:00+00,2020/08/27 00:00:00+00,1,0896AFFE-7839-40D4-BA6D-407F47E4CAA6,47029,46720.91,8,1,,132036.550482008,319860110.443544
21679,2020,CA,USF,PNF,SHEEP,00001299,2020/08/17 00:00:00+00,2020/09/07 00:00:00+00,1,FB31F965-B88D-4C84-8B88-3241F38187CC,29570,29541.139,7,1,,123134.86978424,205912404.478947
21680,2020,CA,USF,LPF,DOLAN,00002428,2020/08/18 00:00:00+00,2020/12/31 00:00:00+00,14,F0A60F88-D1D5-4D86-8105-A3A06456B357,124924,124527.38,7,1,,255261.397082853,772950527.937133
21683,2020,CA,USF,PNF,NORTH COMPLEX,00001302,2020/08/17 00:00:00+00,2020/12/03 00:00:00+00,1,76D31198-0DB2-4ED3-8A95-85F24964E547,318776,318797.25,1,1,,515161.140670984,2183903306.79724
21684,2020,CA,USF,SQF,CASTLE,00002541,2020/08/19 00:00:00+00,2021/01/04 00:00:00+00,1,4CE00061-B897-49DC-8839-D08E040FF65D,174178,170647.92,7,1,,897716.760534035,1063135639.87627
21688,2020,CA,USF,SNF,CREEK,00001391,2020/09/04 00:00:00+00,2020/12/24 00:00:00+00,14,33CBB9DC-6983-4F47-B821-9C9A6CAC381D,379895,379842.41,8,1,,1030210.52228472,2435747263.73596
21695,2020,CA,USF,KNF,DEVIL,00007084,2020/09/09 00:00:00+00,,14,C99607D1-B1D4-4FE3-9B28-36C315AC4306,8857,8871.9385,7,1,,108856.594837955,64904831.302981
21707,2020,CA,USF,KNF,SLATER,00007035,2020/09/08 00:00:00+00,2020/12/12 00:00:00+00,14,24CDAB5C-7832-4546-BD05-15CC702A0326,157270,157429.86,3,1,,580102.551891633,1152491340.13859
21716,2020,CA,USF,ANF,LAKE,00003273,2020/08/12 00:00:00+00,2020/08/30 00:00:00+00,14,"IRWINID BD5901D9-C99A-45CB-B799-F1CAD5F3EA4B,",31089,30999.398,7,1,,117870.197834675,185934914.634283
21718,2020,CA,USF,CNF,VALLEY,00002833,2020/09/05 00:00:00+00,2020/09/24 00:00:00+00,14,A55E40C0-7692-40CD-95ED-113D7936B7F7,16390,16389.537,3,1,,112779.788219772,94002680.793697
21738,2020,CA,CDF,RRU,SNOW,00119353,2020/09/17 00:00:00+00,2020/09/24 00:00:00+00,10,IRWINID FFCB89F5-98FB-4C3A-9554-3D1554181A63,6254,6253.4395,2,1,,48686.0783056112,36805044.7687905
21743,2020,CA,USF,MNF,AUGUST COMPLEX,00008864,2020/08/16 00:00:00+00,2020/11/11 00:00:00+00,1,92D7C097-9C52-4824-A261-B0BD6F932EF3,,1032699.6,3,1,,1695542.55514706,7116307899.12388
21745,2020,CA,CDF,LMU,HOG,00003874,2020/07/18 00:00:00+00,2020/08/28 00:00:00+00,14,795DCBB1-F228-4F7B-9C92-14999DC4B397,9564,9566.3604,7,1,,85678.3440425628,66866941.2191277
21748,2020,CA,USF,SRF,RED SALMON COMPLEX,00000643,2020/07/27 00:00:00+00,2020/11/19 00:00:00+00,1,599BC281-404B-4F3E-BE7F-9A8F7B3E9E56,142386,143836.41,8,1,,464942.017886169,1026602327.54156
21755,2020,CA,NPS,YNP,BLUEJAY,00000054,2020/07/25 00:00:00+00,2020/11/19 00:00:00+00,1,,6922,6922.0137,7,2,,55875.1320954337,44992208.0476804
21756,2020,CA,NPS,BNP,CALDWELL,00000479,2020/07/22 00:00:00+00,2020/09/01 00:00:00+00,1, ,80859,81224.68,7,1,,236072.50028657,590731985.530574
21757,2020,CA,NPS,MNP,DOME,00012356,2020/08/15 00:00:00+00,2020/09/12 00:00:00+00,1,Auto-generated by EGP-IRWIN,43273,44211.25,8,1,,94295.1392436571,269171466.52675
21762,2020,CA,NPS,KNP,RATTLESNAKE,00000080,2020/08/16 00:00:00+00,2020/12/28 00:00:00+00,1,estimate based on satellite heat since 21 NOV,8419,8422.8691,7,2,,142312.836653703,52760004.8849285
21768,2020,CA,BLM,CCD,BACCARAT,00030788,2020/10/04 00:00:00+00,2020/10/11 00:00:00+00,14,a3e0e911-3411-46a6-8928-97727db86bb9,,10456.402,2,1,,48876.5190937764,71729594.3058901
21775,2020,CA,BLM,CND,MOUNTAIN VIEW,00030860,2020/11/17 00:00:00+00,2020/11/30 00:00:00+00,14,54D7D11C-04DF-418A-9D22-9249FF56A4B8,,20374.564,2,1,,71386.5560468165,135042607.606631
21776,2020,CA,BLM,CDD,NADEAU,00011339,2020/07/29 00:00:00+00,2020/08/04 00:00:00+00,14,de1057cc-f14b-4352-b80d-75c93219e9ed,,9150.4023,7,1,,81985.6084495531,56715274.2548427
21777,2020,CA,BLM,CCD,NORTH,00030547,2020/08/02 00:00:00+00,2020/08/10 00:00:00+00,10,cd8d2f6a-ba50-43cf-a62f-894091d839cc,,6882.2935,7,1,,55841.2880832608,47310873.4871889
21786,2020,CA,USF,HTF,SLINK,00030684,2020/08/29 00:00:00+00,2020/11/13 00:00:00+00,14,4de3802a-339c-4f3d-bd9a-61d55e9d2aa5,,26751.779,7,1,,120615.447580124,177137742.947877
21791,2020,CA,BLM,NOD,W-5 COLD SPRINGS,00004727,2020/08/18 00:00:00+00,2020/09/13 00:00:00+00,1,0afebc32-36ee-4fa8-aec5-419c9c6ba51d,,84817.602,7,1,,218761.343479062,604907699.577407
21805,2020,CA,USF,BDF,EL DORADO,00129925,2020/09/05 00:00:00+00,2020/11/16 00:00:00+00,14,,22744,22503.707,2,1,,116688.840093464,133129604.246205
21875,2020,CA,CDF,LMU,GOLD,00003917,2020/07/20 00:00:00+00,2020/10/29 00:00:00+00,14, ,22614,22652.559,7,1,,129127.785644767,161406943.239826
41478,2017,CA,CDF,SLU,ALAMO,00007624,2017/07/06 00:00:00+00,2017/07/20 00:00:00+00,10,,26678,28834.172,2,1,,117396.899748312,174173285.520609
41577,2017,CA,CCO,ORC,CANYON II,17110494,2017/10/09 00:00:00+00,2017/10/17 00:00:00+00,5,,9217,9198.0283,7,1,,56494.6997950554,54071908.8064891
41627,2017,CA,CDF,MMU,DETWILER,00014474,2017/07/16 00:00:00+00,2017/08/31 00:00:00+00,9, ,,81826.273,1,1,,243283.931816621,528043838.36794
41656,2017,CA,CDF,LNU,NUNS,00010049,2017/10/08 00:00:00+00,2017/10/31 00:00:00+00,14,"Nuns,Partrick, Adobe, Norrbom and Pressley>Nuns ",55797,55798.191,3,1,,305483.095957224,368001231.280928
41660,2017,CA,CDF,LNU,TUBBS,00010104,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,14,Central Complex,36701,36701.984,3,1,,167697.410771925,243263474.144081
41661,2017,CA,CDF,LNU,POCKET,00010104,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,14,Central Complex,17359,17359.328,3,1,,143951.044920167,115747129.025788
41662,2017,CA,CDF,LNU,ATLAS,00010105,2017/10/08 00:00:00+00,2017/11/01 00:00:00+00,14,Southern Complex,51624,51624.656,3,1,,217876.451020478,340432031.808802
41704,2017,CA,CCO,LAC,CREEK,00362189,2017/12/05 00:00:00+00,2017/12/05 00:00:00+00,14,,15619,15619.146,7,1,,71990.6476738906,92857036.07548
41705,2017,CA,CCO,LAC,RYE,00362441,2017/12/05 00:00:00+00,2017/12/13 00:00:00+00,14,,6049,6047.7188,7,1,,43088.9726766245,36056780.6262958
41741,2017,CA,BLM,NOD,R-4 PARSNIP,00005180,2017/08/30 00:00:00+00,2017/09/15 00:00:00+00,1,,0,18601.98,7,1,,94536.6430737667,131169145.052986
41747,2017,CA,BLM,NOD,LONG VALLEY,00030366,2017/07/11 00:00:00+00,2017/07/27 00:00:00+00,10,,0,83581.414,7,1,,254095.86251428,577257450.156094
41758,2017,CA,BLM,NOD,MUD,00005152,2017/08/29 00:00:00+00,2017/09/11 00:00:00+00,1,,0,6036.0649,7,1,,30699.5418986304,42209652.6940302
41778,2017,CA,BLM,CND,SLINKARD,00001478,2017/08/29 00:00:00+00,2017/09/21 00:00:00+00,1,<Null>,0,8923.4951,7,1,,44057.80643394,59312745.786423
41787,2017,CA,CDF,RRU,MANZANITA,00078840,2017/06/26 00:00:00+00,2017/06/30 00:00:00+00,10, ,6309,6303.6587,3,1,,33443.4784674953,37095308.3218401
41795,2017,CA,CDF,FKU,GARZA,00009755,2017/07/09 00:00:00+00,2017/07/25 00:00:00+00,10,blank,,48886.664,2,1,,115590.242855739,302589005.418548
41801,2017,CA,CDF,FKU,ELM,00006727,2017/05/18 00:00:00+00,2017/05/23 00:00:00+00,2,,,11146.755,1,1,,46144.8660289751,69188487.9482607
41811,2017,CA,USF,SHF,HELENA,00001770,2017/08/30 00:00:00+00,2017/11/14 00:00:00+00,9,Unified Command with Cal-Fire/USFS,18316,18493.707,3,1,,115013.182628482,130623106.2642
41828,2017,CA,USF,SRF,HAYPRESS,00000914,2017/08/10 00:00:00+00,2017/10/16 00:00:00+00,1,,21301,21317.932,8,1,,120160.213658446,153769708.621981
41836,2017,CA,USF,SQF,SCHAEFFER,00001317,2017/06/24 00:00:00+00,2017/11/15 00:00:00+00,1,CONT_DATE  based on FIRESTAT Fire Out Date/Time,16031,15833.212,6,1,,111481.627255311,98333942.94938
41837,2017,CA,USF,SQF,PIER,00002385,2017/08/29 00:00:00+00,2017/08/30 00:00:00+00,7,,36556,36619.426,6,1,,112701.652011003,227595620.364799
41839,2017,CA,USF,SQF,LION,00002753,2017/09/25 00:00:00+00,2017/11/02 00:00:00+00,1,,19215,18913.576,6,1,,76518.4487986939,117993626.579636
41849,2017,CA,USF,SNF,RAILROAD,00001743,2017/08/29 00:00:00+00,2017/11/18 00:00:00+00,9,CONT_DATE  based on FIRESTAT Fire Out Date/Time,12377,12371.148,3,1,,108952.96646182,79569406.9860298
41854,2017,CA,USF,SHF,BUCK,00001850,2017/09/12 00:00:00+00,2017/10/30 00:00:00+00,1,Initial Attack I.C. was Adam Zaharris. Two small *,13343,13357.282,8,1,,68184.3437889423,92794431.9250903
41871,2017,CA,USF,LPF,WHITTIER,00001770,2017/07/08 00:00:00+00,2017/12/21 00:00:00+00,9,CONT_DATE based on Inciweb,18431,18412.404,1,1,,76132.4528731415,110052443.243181
41874,2017,CA,USF,VNC,THOMAS,00003583,2017/12/04 00:00:00+00,2018/01/12 00:00:00+00,9,CONT_DATE based on Inciweb,281893,281790.88,7,1,,540531.887458036,1681105894.58675
41876,2017,CA,USF,KNF,CEDAR,00005915,2017/08/08 00:00:00+00,2017/10/10 00:00:00+00,1,CONT_DATE est from Inciweb/IRWIN - Eclipse Complex four mile merged,6939,9129.377,3,1,,108875.126942221,66826182.8585491
41885,2017,CA,USF,KNF,OAK,00006016,2017/08/11 00:00:00+00,2017/10/10 00:00:00+00,1,CONT_DATE est frm Inciweb/IRWIN - Eclipse Comp SRF Young & clear merge,45403,91125.328,3,1,,470305.295948125,662759651.436543
41886,2017,CA,USF,KNF,WALLOW,00006029,2017/08/11 00:00:00+00,2017/11/13 00:00:00+00,1,CONT_DATE est from other Salmon-August fires,5272,63785.07,3,1,,302323.992355088,459363739.031812
41925,2017,CA,USF,MDF,COVE,00000722,2017/07/25 00:00:00+00,2017/09/06 00:00:00+00,1,<Null>,30886.5,30890.861,3,1,,85246.3692302943,221557152.639383
41927,2017,CA,USF,MDF,STEELE,00000776,2017/07/26 00:00:00+00,2017/08/13 00:00:00+00,1,<Null>,45690.4,45704.012,3,1,,210887.602572587,333949956.298886
41950,2017,CA,CDF,BTU,CHEROKEE,00015933,2017/10/08 00:00:00+00,2017/11/05 00:00:00+00,11,,8417,8415.8027,1,1,,56006.6256092233,57418682.6720681
41952,2017,CA,CDF,BTU,WALL,00010975,2017/07/07 00:00:00+00,2017/08/03 00:00:00+00,2,,6033,6028.4897,1,1,,49937.6101350892,40992989.863548
41988,2017,CA,CDF,NEU,CASCADE,00026269,2017/10/08 00:00:00+00,2017/10/26 00:00:00+00,14,"NEU Wind Complex, merged w/ LaPorte",9989,16140.799,7,1,,126853.614804535,109404876.923655
41996,2017,CA,NPS,YNP,EMPIRE,00000084,2017/07/31 00:00:00+00,2017/11/27 00:00:00+00,1,,0,8577.5518,7,1,84,156091.427983048,55463909.9586747
42029,2017,CA,CCO,LDF,LA TUNA,00000965,2017/09/01 00:00:00+00,2017/09/08 00:00:00+00,14,"5 residential structures, 5 outbuildings lost",7194,7051.3511,8,1,,39362.4635113844,41848445.2727338
42030,2017,CA,USF,MDF,PARKER2 ,00000862,2017/08/03 00:00:00+00,2017/08/15 00:00:00+00,1,,7692,7693.3193,3,1,,154167.754522116,55487039.5245925
42031,2017,CA,NPS,YNP,SOUTH FORK,00000108,2017/08/13 00:00:00+00,2017/11/03 00:00:00+00,1,no new growth past 10/11,7000,7560.0767,8,1,,109839.559860642,48763696.7022927
42032,2017,CA,CDF,LNU,REDWOOD VALLEY,00012172,2017/10/08 00:00:00+00,2017/10/25 00:00:00+00,14,Mendocino Lake Complex,,36522.945,8,1,,138169.276738241,247373450.637552
42033,2017,CA,USF,RRS,ABNEY,00000568,2017/08/10 00:00:00+00,2018/01/10 00:00:00+00,1,"Miller Complex, cause from Incinet, Cont Date based on Fire out date",,32893.262,8,1,,174124.472395045,240885915.488907
42055,2018,CA,CDF,BTU,CAMP,00016737,2018/11/08 00:00:00+00,2018/11/26 00:00:00+00,11, ,153336,153335.56,1,1,,405925.63014031,1051100904.37255
42113,2018,CA,CDF,SHU,CARR ,00007808,2018/07/23 00:00:00+00,2018/09/01 00:00:00+00,10, ,229651,229651.41,1,1,,515058.517709609,1618694608.19214
42246,2018,CA,CDF,TCU,WAVERLY,00007477,2018/06/29 00:00:00+00,2018/08/09 00:00:00+00,2,,,11759.618,1,1,,80615.1222595405,76775934.0774384
42278,2018,CA,CDF,LNU,COUNTY,00009502,2018/06/30 00:00:00+00,2018/07/11 00:00:00+00,14,,,89831.148,2,1,,213735.978033282,597104332.240601
42291,2018,CA,CDF,LNU,RIVER,00008653,2018/07/27 00:00:00+00,2018/08/10 00:00:00+00,14,MENDOCINO_COMPLEX,48920,48920.391,7,1,,123952.417928182,328776999.427292
42292,2018,CA,CDF,LNU,RANCH,00008646,2018/07/27 00:00:00+00,2018/09/19 00:00:00+00,14,MENDOCINO_COMPLEX,410203,410202.47,7,1,,450086.790106664,2774859060.55709
42332,2018,CA,CDF,SKU,KLAMATHON,00004641,2018/07/05 00:00:00+00,2018/07/21 00:00:00+00,5,,38008,38008.789,7,1,,154918.847360816,278368151.736617
42350,2018,CA,USF,STF,DONNELL,00001702,2018/08/01 00:00:00+00,,14,,36450,36461.418,3,1,,266577.636418859,240469888.352796
42351,2018,CA,USF,SHF,DELTA,00001444,2018/09/05 00:00:00+00,,9, ,63458,63505.609,3,1,,213920.868401596,451652749.714727
42354,2018,CA,USF,SHF,HIRZ,00001223,2018/08/09 00:00:00+00,2018/09/15 00:00:00+00,9,Hirz Fire grew to include Moore and Point fires. *,40580,40608.434,3,1,,166007.169202707,288666688.587551
42355,2018,CA,USF,SHF,MOORE,00001224,2018/08/09 00:00:00+00,2018/09/15 00:00:00+00,9,"This fire became part of the Hirz fire; cause und*",5570,5574.3794,8,1,,29164.9156622168,39558720.838766
42376,2018,CA,USF,CNF,HOLY,00002664,2018/08/06 00:00:00+00,2018/10/17 00:00:00+00,9,"Prolonged duration before fire will be ""Out""--lar*",23025,23025.396,6,1,,90674.2309998111,134978279.579946
42380,2018,CA,USF,MDF,STONE,00001193,2018/08/15 00:00:00+00,2018/08/29 00:00:00+00,1,,39387,39584.285,3,1,,104656.94955186,285155172.208249
42387,2018,CA,USF,SNF,FERGUSON,00000745,2018/07/13 00:00:00+00,2018/11/28 00:00:00+00,9,,96900,96831.227,1,1,,236081.231941237,625823315.548978
42388,2018,CA,USF,INF,LIONS,00000493,2018/06/19 00:00:00+00,2018/11/28 00:00:00+00,1,,13462,13461.373,1,1,,74767.4907851036,-86880896.4578561
42394,2018,CA,USF,BDF,CRANSTON,00011390,2018/07/25 00:00:00+00,,7, ,13229,13229.158,3,1,,110578.765247384,77576969.7084948
42401,2018,CA,USF,HTF,BOOT,00030600,2018/09/14 00:00:00+00,2018/09/17 00:00:00+00,14,,,6972.252,5,1,,77419.810111221,45997275.1261535
42405,2018,CA,USF,RRS,NATCHEZ,00000348,2018/10/19 00:00:00+00,2018/12/18 00:00:00+00,14,,,38117.852,7,1,,230723.060895251,278429084.943433
42409,2018,CA,USF,LNF,WHALEBACK,00003951,2018/08/05 00:00:00+00,2018/08/06 00:00:00+00,14,,,18701.898,7,1,,64113.0957824121,131529873.670575
42434,2018,CA,CDF,LNU,PAWNEE,00009002,2018/06/23 00:00:00+00,2018/07/05 00:00:00+00,14,,,15196.922,2,1,,148744.005784821,102191530.303581
42453,2019,CA,CCO,VNC,MARIA,00090135,2019/10/31 00:00:00+00,2019/11/05 00:00:00+00,14,"Maria IMT, 11/3/2019 2130hrs",9999,10042.459,7,1,,66055.5952608773,59718543.8406326
42478,2019,CA,CDF,LNU,KINCADE,00019376,2019/10/23 00:00:00+00,2019/11/10 00:00:00+00,11,,,77762.141,1,1,,238568.856408981,517112590.749087
42566,2019,CA,CDF,TGU,RED BANK,00009386,2019/09/05 00:00:00+00,2019/09/15 00:00:00+00,1,,8822,8822.0244,7,1,,59558.6408065725,61191653.4728186
42617,2019,CA,CDF,MMU,BRICEBURG,00021257,2019/10/06 00:00:00+00,2019/10/20 00:00:00+00,10,IR Heat Perimeter with some corrections from GPS,5563,5508.3501,7,1,,32223.6346457514,35579063.5498183
42689,2019,CA,USF,INF,TABOOSE,00002018,2019/09/04 00:00:00+00,2019/11/23 00:00:00+00,1,,10265,10267.632,1,1,,96472.3697032895,65304716.463553
42691,2019,CA,USF,INF,SPRINGS,00001465,2019/07/26 00:00:00+00,2019/12/18 00:00:00+00,1,,4840,6614.6343,1,1,,31381.9091531774,42987120.6774444
42710,2019,CA,USF,MDF,LONE,00000836,2019/09/05 00:00:00+00,2019/12/02 00:00:00+00,1,,5737,5737.1597,1,1,,34608.9320019071,41766711.458826
42711,2019,CA,USF,MDF,TUCKER,00000509,2019/07/28 00:00:00+00,2019/09/17 00:00:00+00,9,,14217,14184.661,1,1,,70971.9579013628,103380899.976444
42734,2019,CA,USF,SHF,SOUTH,00001209,2019/09/05 00:00:00+00,2019/12/02 00:00:00+00,1,,5532,5333.9907,3,1,,99390.025840644,36952235.0572783
42745,2019,CA,USF,PNF,WALKER,00001324,2019/09/04 00:00:00+00,2020/01/15 00:00:00+00,9,,54628,54614.902,1,1,,271202.794103285,378027378.834925
42764,2019,CA,LRA,LDF,SADDLE RIDGE,00001582,2019/10/10 00:00:00+00,2019/10/31 00:00:00+00,14,"shape from GEOMAC, dat from CAL FIRE web",8799,8799.3252,7,1,,86547.4078324164,52335530.8265957
42788,2018,CA,CCO,LAC,WOOLSEY,00338981,2018/11/08 00:00:00+00,2018/11/20 00:00:00+00,11,VNC INC# 00091023    18-0091023 VNC end date 1/4/2019,96949,89551.383,7,1,,657758.046565507,530077573.181573
42838,2021,CA,CDF,SHU,FAWN,00010480,2021/09/22 06:59:59+00,2021/09/29 06:59:59+00,7,Auto-generated by EGP-IRWIN,8595,8576.4932,3,1,,62296.7297385723,60482385.6438009
42928,2021,CA,NPS,KNP,KNP Complex,00000122,2021/09/10 00:00:00+00,2021/12/16 00:00:00+00,1,Includes Paradise (INC #00000116) and Colony (INC #00000118),88307,88257.125,7,1,,490677.282285277,554850423.161891
42930,2021,CA,CDF,MVU,SOUTHERN,00007992,2021/05/02 06:59:59+00,2022/05/06 06:59:59+00,2,Power tools,5365,5365.9019,7,1,,55683.4880261371,30944913.7874621
43072,2021,CA,USF,SHF,LAVA,00000949,2021/06/25 03:35:00+00,2021/10/26 23:45:00+00,1,A7F01FAF-7092-49EF-9D1E-154FBCA30808,26329,26328.9,7,1,,159380.002039551,189991723.010833
43075,2021,CA,USF,KNF,TENNANT,00005169,2021/06/28 23:07:00+00,2022/01/03 17:22:00+00,14,5C2D3644-5266-4028-A593-F66AA0791D54,10580,10591.031,3,1,,95932.748154615,76985666.9234448
43076,2021,CA,USF,SHF,SALT,00000982,2021/06/30 20:31:00+00,2021/10/26 23:55:00+00,2,403B847B-B915-478A-87F0-1D8013C54B18,12660,12599.142,4,1,,80335.8713987533,89360822.1011809
43079,2021,CA,USF,PNF,SUGAR,00001046,2021/07/02 23:04:15+00,2021/10/28 00:59:59+00,14,"33088F36-F802-4500-86A4-82DA6A62425F, Beckwourth ",105076,105003.91,7,1,,293807.505631719,723650604.62533
43091,2021,CA,USF,SHF,MCFARLAND,00001175,2021/07/30 01:44:00+00,2021/10/26 23:45:00+00,1,938686BB-0F52-47B2-B077-EB307941D939,122653,122447.73,3,1,,277221.689592051,852182962.695796
43096,2021,CA,USF,KNF,ANTELOPE,00006454,2021/08/01 17:38:45+00,2022/01/03 17:22:00+00,1,"4098977E-B34D-40C3-8F34-2B913217503A, includes Baird perimeter INC NUM 00006530",145632,145631.75,7,1,,509731.64688243,1055549372.81789
43102,2021,CA,USF,ENF,CALDOR,00024030,2021/08/15 01:54:24+00,2021/11/18 01:01:00+00,14,E6C053C8-A346-43FB-9C29-632BC7536717,221835,221786.39,7,1,,472891.282432885,1476039182.01235
